Channel Group,Source,Domain,Date,Funnel,Campaign,Result type,Cost,Result,Result Rate,Cost per Result,Impressions,Clicks,CTR,Reach,Views,ThruPlays,Engagements,Engagement Rate,CPC,CPM,View Rate,CPV,CPE
 Paid Search , google , BIODERMA ,Jun-24,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 74,153,13.20%,€ 0.48,"1,155",153,13.20%,"1,155",0,0,0,0.00%,€ 0.48,€ 63.97,0.00%, € -   , € -   
 Paid Social , meta , BIODERMA ,Jun-24,Conversion,BIO-2024-H2O-Mizellenwasser,Clicks,€ 23,22,0.60%,€ 1.05,"3,676",22,0.60%,"3,216",0,48,85,2.30%,€ 1.05,€ 6.31,0.00%, € -   ,€ 0.27
 Paid Social , meta , BIODERMA ,Jun-24,Conversion,BIO-2024-Photoderm-Eau-Solaire,Clicks,€ 55,101,1.40%,€ 0.55,"7,224",101,1.40%,"6,986",0,0,104,1.40%,€ 0.55,€ 7.65,0.00%, € -   ,€ 0.53
 Paid Search , google , BIODERMA ,Jun-24,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 80,140,11.00%,€ 0.57,"1,276",140,11.00%,"1,276",0,0,0,0.00%,€ 0.57,€ 62.88,0.00%, € -   , € -   
 Paid Social , meta , BIODERMA ,Jun-24,Conversion,BIO-2024-H2O-Mizellenwasser,Clicks,€ 49,51,0.50%,€ 0.97,"9,400",51,0.50%,"7,793",0,84,177,1.90%,€ 0.97,€ 5.25,0.00%, € -   ,€ 0.28
 Paid Social , meta , BIODERMA ,Jun-24,Conversion,BIO-2024-Photoderm-Eau-Solaire,Clicks,€ 119,191,1.00%,€ 0.62,"18,246",191,1.00%,"16,128",0,2,202,1.10%,€ 0.62,€ 6.52,0.00%, € -   ,€ 0.59
 Paid Search , google , BIODERMA ,Jun-24,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 99,152,11.60%,€ 0.65,"1,306",152,11.60%,"1,306",0,0,0,0.00%,€ 0.65,€ 75.47,0.00%, € -   , € -   
 Paid Social , meta , BIODERMA ,Jun-24,Conversion,BIO-2024-H2O-Mizellenwasser,Clicks,€ 49,51,0.60%,€ 0.96,"8,286",51,0.60%,"6,980",0,73,178,2.10%,€ 0.96,€ 5.88,0.00%, € -   ,€ 0.27
 Paid Social , meta , BIODERMA ,Jun-24,Conversion,BIO-2024-Photoderm-Eau-Solaire,Clicks,€ 117,213,1.20%,€ 0.55,"18,311",213,1.20%,"16,590",0,1,220,1.20%,€ 0.55,€ 6.40,0.00%, € -   ,€ 0.53
 Paid Search , google , BIODERMA ,Jun-24,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 95,165,11.50%,€ 0.57,"1,439",165,11.50%,"1,439",0,0,0,0.00%,€ 0.57,€ 65.89,0.00%, € -   , € -   
 Paid Social , meta , BIODERMA ,Jun-24,Conversion,BIO-2024-H2O-Mizellenwasser,Clicks,€ 50,48,0.60%,€ 1.04,"7,886",48,0.60%,"6,886",0,77,188,2.40%,€ 1.04,€ 6.34,0.00%, € -   ,€ 0.27
 Paid Social , meta , BIODERMA ,Jun-24,Conversion,BIO-2024-Photoderm-Eau-Solaire,Clicks,€ 120,193,1.20%,€ 0.62,"16,572",193,1.20%,"14,909",0,0,204,1.20%,€ 0.62,€ 7.22,0.00%, € -   ,€ 0.59
 Paid Search , google , BIODERMA ,Jun-24,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 80,168,12.70%,€ 0.48,"1,318",168,12.70%,"1,318",0,0,0,0.00%,€ 0.48,€ 61.02,0.00%, € -   , € -   
 Paid Social , meta , BIODERMA ,Jun-24,Conversion,BIO-2024-Photoderm-Eau-Solaire,Clicks,€ 122,176,1.00%,€ 0.70,"17,264",176,1.00%,"15,032",0,1,183,1.10%,€ 0.70,€ 7.09,0.00%, € -   ,€ 0.67
 Paid Social , meta , BIODERMA ,Jun-24,Conversion,BIO-2024-H2O-Mizellenwasser,Clicks,€ 51,51,0.50%,€ 1.00,"9,575",51,0.50%,"8,125",0,88,201,2.10%,€ 1.00,€ 5.33,0.00%, € -   ,€ 0.25
 Paid Search , google , BIODERMA ,Jun-24,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 86,177,12.40%,€ 0.49,"1,428",177,12.40%,"1,428",0,0,0,0.00%,€ 0.49,€ 60.51,0.00%, € -   , € -   
 Paid Social , meta , BIODERMA ,Jun-24,Conversion,BIO-2024-H2O-Mizellenwasser,Clicks,€ 54,62,0.80%,€ 0.87,"8,023",62,0.80%,"7,009",0,128,254,3.20%,€ 0.87,€ 6.69,0.00%, € -   ,€ 0.21
 Paid Social , meta , BIODERMA ,Jun-24,Conversion,BIO-2024-Photoderm-Eau-Solaire,Clicks,€ 127,213,1.40%,€ 0.59,"15,283",213,1.40%,"13,573",0,0,219,1.40%,€ 0.59,€ 8.29,0.00%, € -   ,€ 0.58
 Paid Search , google , BIODERMA ,Jun-24,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 88,168,13.50%,€ 0.53,"1,248",168,13.50%,"1,248",0,0,0,0.00%,€ 0.53,€ 70.77,0.00%, € -   , € -   
 Paid Social , meta , BIODERMA ,Jun-24,Conversion,BIO-2024-H2O-Mizellenwasser,Clicks,€ 49,43,0.70%,€ 1.13,"6,226",43,0.70%,"5,414",0,149,268,4.30%,€ 1.13,€ 7.83,0.00%, € -   ,€ 0.18
 Paid Social , meta , BIODERMA ,Jun-24,Conversion,BIO-2024-Photoderm-Eau-Solaire,Clicks,€ 118,177,1.40%,€ 0.67,"12,740",177,1.40%,"11,510",0,0,181,1.40%,€ 0.67,€ 9.24,0.00%, € -   ,€ 0.65
 Paid Search , google , BIODERMA ,Jun-24,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 76,140,13.00%,€ 0.54,"1,081",140,13.00%,"1,081",0,0,0,0.00%,€ 0.54,€ 70.29,0.00%, € -   , € -   
 Paid Social , meta , BIODERMA ,Jun-24,Conversion,BIO-2024-H2O-Mizellenwasser,Clicks,€ 49,45,0.70%,€ 1.08,"6,385",45,0.70%,"5,699",0,138,255,4.00%,€ 1.08,€ 7.61,0.00%, € -   ,€ 0.19
 Paid Social , meta , BIODERMA ,Jun-24,Conversion,BIO-2024-Photoderm-Eau-Solaire,Clicks,€ 118,165,1.20%,€ 0.72,"13,891",165,1.20%,"13,026",0,1,170,1.20%,€ 0.72,€ 8.50,0.00%, € -   ,€ 0.69
 Paid Search , google , BIODERMA ,Jun-24,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 78,164,13.80%,€ 0.48,"1,192",164,13.80%,"1,192",0,0,0,0.00%,€ 0.48,€ 65.57,0.00%, € -   , € -   
 Paid Social , meta , BIODERMA ,Jun-24,Conversion,BIO-2024-H2O-Mizellenwasser,Clicks,€ 50,52,0.70%,€ 0.95,"7,007",52,0.70%,"6,104",0,125,232,3.30%,€ 0.95,€ 7.06,0.00%, € -   ,€ 0.21
 Paid Social , meta , BIODERMA ,Jun-24,Conversion,BIO-2024-Photoderm-Eau-Solaire,Clicks,€ 118,170,1.20%,€ 0.69,"14,165",170,1.20%,"12,748",0,0,174,1.20%,€ 0.69,€ 8.31,0.00%, € -   ,€ 0.68
 Paid Search , google , BIODERMA ,Jun-24,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 121,204,14.80%,€ 0.59,"1,378",204,14.80%,"1,378",0,0,0,0.00%,€ 0.59,€ 88.00,0.00%, € -   , € -   
 Paid Social , meta , BIODERMA ,Jun-24,Conversion,BIO-2024-Photoderm-Eau-Solaire,Clicks,€ 118,206,1.40%,€ 0.57,"14,847",206,1.40%,"14,098",0,1,215,1.40%,€ 0.57,€ 7.97,0.00%, € -   ,€ 0.55
 Paid Social , meta , BIODERMA ,Jun-24,Conversion,BIO-2024-H2O-Mizellenwasser,Clicks,€ 49,63,0.80%,€ 0.78,"7,974",63,0.80%,"7,035",0,105,214,2.70%,€ 0.78,€ 6.19,0.00%, € -   ,€ 0.23
 Paid Search , google , BIODERMA ,Jun-24,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 87,182,13.40%,€ 0.48,"1,361",182,13.40%,"1,361",0,0,0,0.00%,€ 0.48,€ 64.17,0.00%, € -   , € -   
 Paid Social , meta , BIODERMA ,Jun-24,Conversion,BIO-2024-Photoderm-Eau-Solaire,Clicks,€ 119,207,1.40%,€ 0.58,"14,553",207,1.40%,"12,658",0,1,216,1.50%,€ 0.58,€ 8.21,0.00%, € -   ,€ 0.55
 Paid Social , meta , BIODERMA ,Jun-24,Conversion,BIO-2024-H2O-Mizellenwasser,Clicks,€ 50,58,0.80%,€ 0.86,"7,475",58,0.80%,"6,608",0,134,273,3.70%,€ 0.86,€ 6.65,0.00%, € -   ,€ 0.18
 Paid Search , google , BIODERMA ,Jun-24,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 66,138,10.80%,€ 0.48,"1,275",138,10.80%,"1,275",0,0,0,0.00%,€ 0.48,€ 51.45,0.00%, € -   , € -   
 Paid Social , meta , BIODERMA ,Jun-24,Conversion,BIO-2024-H2O-Mizellenwasser,Clicks,€ 51,64,0.90%,€ 0.79,"7,516",64,0.90%,"6,567",0,138,270,3.60%,€ 0.79,€ 6.75,0.00%, € -   ,€ 0.19
 Paid Social , meta , BIODERMA ,Jun-24,Conversion,BIO-2024-Photoderm-Eau-Solaire,Clicks,€ 121,192,1.30%,€ 0.63,"15,324",192,1.30%,"14,016",0,0,203,1.30%,€ 0.63,€ 7.91,0.00%, € -   ,€ 0.60
 Paid Search , google , BIODERMA ,Jun-24,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 89,168,14.00%,€ 0.53,"1,202",168,14.00%,"1,202",0,0,0,0.00%,€ 0.53,€ 74.40,0.00%, € -   , € -   
 Paid Social , meta , BIODERMA ,Jun-24,Conversion,BIO-2024-H2O-Mizellenwasser,Clicks,€ 53,63,0.80%,€ 0.84,"8,315",63,0.80%,"7,156",0,138,276,3.30%,€ 0.84,€ 6.40,0.00%, € -   ,€ 0.19
 Paid Social , meta , BIODERMA ,Jun-24,Conversion,BIO-2024-Photoderm-Eau-Solaire,Clicks,€ 127,264,1.80%,€ 0.48,"14,812",264,1.80%,"13,761",0,0,273,1.80%,€ 0.48,€ 8.60,0.00%, € -   ,€ 0.47
 Paid Search , google , BIODERMA ,Jun-24,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 98,172,12.80%,€ 0.57,"1,343",172,12.80%,"1,343",0,0,0,0.00%,€ 0.57,€ 72.78,0.00%, € -   , € -   
 Paid Social , meta , BIODERMA ,Jun-24,Conversion,BIO-2024-H2O-Mizellenwasser,Clicks,€ 52,46,0.70%,€ 1.13,"7,065",46,0.70%,"5,917",0,165,310,4.40%,€ 1.13,€ 7.36,0.00%, € -   ,€ 0.17
 Paid Social , meta , BIODERMA ,Jun-24,Conversion,BIO-2024-Photoderm-Eau-Solaire,Clicks,€ 126,202,1.50%,€ 0.63,"13,767",202,1.50%,"12,388",0,0,211,1.50%,€ 0.63,€ 9.17,0.00%, € -   ,€ 0.60
 Paid Search , google , BIODERMA ,Jun-24,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 84,152,11.80%,€ 0.55,"1,288",152,11.80%,"1,288",0,0,0,0.00%,€ 0.55,€ 65.11,0.00%, € -   , € -   
 Paid Social , meta , BIODERMA ,Jun-24,Conversion,BIO-2024-H2O-Mizellenwasser,Clicks,€ 52,49,0.60%,€ 1.05,"7,565",49,0.60%,"6,319",0,189,335,4.40%,€ 1.05,€ 6.81,0.00%, € -   ,€ 0.15
 Paid Social , meta , BIODERMA ,Jun-24,Conversion,BIO-2024-Photoderm-Eau-Solaire,Clicks,€ 123,181,1.30%,€ 0.68,"14,346",181,1.30%,"13,491",0,1,192,1.30%,€ 0.68,€ 8.58,0.00%, € -   ,€ 0.64
 Paid Search , google , BIODERMA ,Jun-24,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 83,165,11.50%,€ 0.50,"1,434",165,11.50%,"1,434",0,0,0,0.00%,€ 0.50,€ 58.03,0.00%, € -   , € -   
 Paid Social , meta , BIODERMA ,Jun-24,Conversion,BIO-2024-H2O-Mizellenwasser,Clicks,€ 44,52,0.70%,€ 0.85,"7,388",52,0.70%,"6,222",0,137,268,3.60%,€ 0.85,€ 5.97,0.00%, € -   ,€ 0.16
 Paid Social , meta , BIODERMA ,Jun-24,Conversion,BIO-2024-Photoderm-Eau-Solaire,Clicks,€ 105,174,1.30%,€ 0.60,"13,814",174,1.30%,"12,450",0,3,192,1.40%,€ 0.60,€ 7.61,0.00%, € -   ,€ 0.55
 Paid Search , google , BIODERMA ,Jun-24,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 103,175,11.30%,€ 0.59,"1,554",175,11.30%,"1,554",0,0,0,0.00%,€ 0.59,€ 66.07,0.00%, € -   , € -   
 Paid Social , meta , BIODERMA ,Jun-24,Conversion,BIO-2024-Photoderm-Eau-Solaire,Clicks,€ 117,178,1.30%,€ 0.65,"14,102",178,1.30%,"12,761",0,0,187,1.30%,€ 0.65,€ 8.26,0.00%, € -   ,€ 0.62
 Paid Social , meta , BIODERMA ,Jun-24,Conversion,BIO-2024-H2O-Mizellenwasser,Clicks,€ 49,56,0.60%,€ 0.87,"8,761",56,0.60%,"7,324",0,79,209,2.40%,€ 0.87,€ 5.57,0.00%, € -   ,€ 0.23
 Paid Search , google , BIODERMA ,Jun-24,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 113,199,13.60%,€ 0.57,"1,467",199,13.60%,"1,467",0,0,0,0.00%,€ 0.57,€ 77.04,0.00%, € -   , € -   
 Paid Social , meta , BIODERMA ,Jun-24,Conversion,BIO-2024-H2O-Mizellenwasser,Clicks,€ 50,54,0.60%,€ 0.92,"9,012",54,0.60%,"8,018",0,117,257,2.90%,€ 0.92,€ 5.52,0.00%, € -   ,€ 0.19
 Paid Social , meta , BIODERMA ,Jun-24,Conversion,BIO-2024-Photoderm-Eau-Solaire,Clicks,€ 118,201,1.30%,€ 0.59,"15,566",201,1.30%,"14,247",0,1,207,1.30%,€ 0.59,€ 7.60,0.00%, € -   ,€ 0.57
 Paid Search , google , BIODERMA ,Jun-24,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 115,187,12.20%,€ 0.62,"1,532",187,12.20%,"1,532",0,0,0,0.00%,€ 0.62,€ 75.32,0.00%, € -   , € -   
 Paid Social , meta , BIODERMA ,Jun-24,Conversion,BIO-2024-H2O-Mizellenwasser,Clicks,€ 50,72,0.80%,€ 0.70,"9,240",72,0.80%,"8,172",0,120,282,3.10%,€ 0.70,€ 5.46,0.00%, € -   ,€ 0.18
 Paid Social , meta , BIODERMA ,Jun-24,Conversion,BIO-2024-Photoderm-Eau-Solaire,Clicks,€ 97,166,1.20%,€ 0.58,"13,413",166,1.20%,"12,150",0,0,174,1.30%,€ 0.58,€ 7.21,0.00%, € -   ,€ 0.56
 Paid Search , google , BIODERMA ,Jun-24,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 120,192,12.80%,€ 0.62,"1,502",192,12.80%,"1,502",0,0,0,0.00%,€ 0.62,€ 79.64,0.00%, € -   , € -   
 Paid Social , meta , BIODERMA ,Jun-24,Conversion,BIO-2024-H2O-Mizellenwasser,Clicks,€ 53,77,0.80%,€ 0.69,"10,148",77,0.80%,"8,952",0,144,307,3.00%,€ 0.69,€ 5.25,0.00%, € -   ,€ 0.17
 Paid Social , meta , BIODERMA ,Jun-24,Conversion,BIO-2024-Photoderm-Eau-Solaire,Clicks,€ 106,210,1.50%,€ 0.50,"14,352",210,1.50%,"13,118",0,0,215,1.50%,€ 0.50,€ 7.38,0.00%, € -   ,€ 0.49
 Paid Search , google , BIODERMA ,Jun-24,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 108,199,15.60%,€ 0.54,"1,274",199,15.60%,"1,274",0,0,0,0.00%,€ 0.54,€ 84.65,0.00%, € -   , € -   
 Paid Social , meta , BIODERMA ,Jun-24,Conversion,BIO-2024-H2O-Mizellenwasser,Clicks,€ 50,55,0.60%,€ 0.91,"9,420",55,0.60%,"8,553",0,135,291,3.10%,€ 0.91,€ 5.29,0.00%, € -   ,€ 0.17
 Paid Social , meta , BIODERMA ,Jun-24,Conversion,BIO-2024-Photoderm-Eau-Solaire,Clicks,€ 101,178,1.30%,€ 0.57,"13,561",178,1.30%,"12,693",0,0,183,1.30%,€ 0.57,€ 7.44,0.00%, € -   ,€ 0.55
 Paid Search , google , BIODERMA ,Jun-24,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 101,167,11.40%,€ 0.60,"1,461",167,11.40%,"1,461",0,0,0,0.00%,€ 0.60,€ 69.14,0.00%, € -   , € -   
 Paid Social , meta , BIODERMA ,May-24,Conversion,BIO-2024-H2O-Mizellenwasser,Clicks,€ 49,49,0.60%,€ 1.00,"8,591",49,0.60%,"7,742",0,87,204,2.40%,€ 1.00,€ 5.71,0.00%, € -   ,€ 0.24
 Paid Social , meta , BIODERMA ,May-24,Conversion,BIO-2024-Photoderm-Eau-Solaire,Clicks,€ 98,159,1.20%,€ 0.62,"12,984",159,1.20%,"11,937",0,0,165,1.30%,€ 0.62,€ 7.57,0.00%, € -   ,€ 0.60
 Paid Search , google , BIODERMA ,May-24,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 95,174,11.30%,€ 0.55,"1,542",174,11.30%,"1,542",0,0,0,0.00%,€ 0.55,€ 61.89,0.00%, € -   , € -   
 Paid Social , meta , BIODERMA ,May-24,Conversion,BIO-2024-Photoderm-Eau-Solaire,Clicks,€ 98,209,1.70%,€ 0.47,"12,261",209,1.70%,"10,968",0,1,216,1.80%,€ 0.47,€ 7.99,0.00%, € -   ,€ 0.45
 Paid Social , meta , BIODERMA ,May-24,Conversion,BIO-2024-H2O-Mizellenwasser,Clicks,€ 49,44,0.70%,€ 1.11,"6,577",44,0.70%,"5,678",0,220,442,6.70%,€ 1.11,€ 7.44,0.00%, € -   ,€ 0.11
 Paid Search , google , BIODERMA ,May-24,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 84,162,12.00%,€ 0.52,"1,354",162,12.00%,"1,354",0,0,0,0.00%,€ 0.52,€ 61.69,0.00%, € -   , € -   
 Paid Social , meta , BIODERMA ,May-24,Conversion,BIO-2024-Photoderm-Eau-Solaire,Clicks,€ 97,168,1.30%,€ 0.58,"13,068",168,1.30%,"11,946",0,1,175,1.30%,€ 0.58,€ 7.41,0.00%, € -   ,€ 0.55
 Paid Social , meta , BIODERMA ,May-24,Conversion,BIO-2024-H2O-Mizellenwasser,Clicks,€ 49,52,0.70%,€ 0.94,"7,200",52,0.70%,"6,603",0,174,337,4.70%,€ 0.94,€ 6.77,0.00%, € -   ,€ 0.14
 Paid Search , google , BIODERMA ,May-24,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 72,155,10.90%,€ 0.47,"1,425",155,10.90%,"1,425",0,0,0,0.00%,€ 0.47,€ 50.85,0.00%, € -   , € -   
 Paid Social , meta , BIODERMA ,May-24,Conversion,BIO-2024-Photoderm-Eau-Solaire,Clicks,€ 98,188,1.40%,€ 0.52,"13,161",188,1.40%,"11,876",0,0,194,1.50%,€ 0.52,€ 7.43,0.00%, € -   ,€ 0.50
 Paid Social , meta , BIODERMA ,May-24,Conversion,BIO-2024-H2O-Mizellenwasser,Clicks,€ 49,58,0.70%,€ 0.85,"8,260",58,0.70%,"7,393",0,115,276,3.30%,€ 0.85,€ 5.94,0.00%, € -   ,€ 0.18
 Paid Search , google , BIODERMA ,May-24,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 101,165,13.10%,€ 0.61,"1,262",165,13.10%,"1,262",0,0,0,0.00%,€ 0.61,€ 80.21,0.00%, € -   , € -   
 Paid Social , meta , BIODERMA ,May-24,Conversion,BIO-2024-H2O-Mizellenwasser,Clicks,€ 51,54,0.60%,€ 0.94,"9,092",54,0.60%,"8,177",0,137,285,3.10%,€ 0.94,€ 5.59,0.00%, € -   ,€ 0.18
 Paid Social , meta , BIODERMA ,May-24,Conversion,BIO-2024-Photoderm-Eau-Solaire,Clicks,€ 100,189,1.30%,€ 0.53,"14,695",189,1.30%,"13,925",0,1,196,1.30%,€ 0.53,€ 6.82,0.00%, € -   ,€ 0.51
 Paid Search , google , BIODERMA ,May-24,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 112,208,12.50%,€ 0.54,"1,668",208,12.50%,"1,668",0,0,0,0.00%,€ 0.54,€ 67.21,0.00%, € -   , € -   
 Paid Social , meta , BIODERMA ,May-24,Conversion,BIO-2024-H2O-Mizellenwasser,Clicks,€ 54,58,0.60%,€ 0.92,"9,269",58,0.60%,"8,279",0,164,312,3.40%,€ 0.92,€ 5.78,0.00%, € -   ,€ 0.17
 Paid Social , meta , BIODERMA ,May-24,Conversion,BIO-2024-Photoderm-Eau-Solaire,Clicks,€ 108,225,1.50%,€ 0.48,"15,132",225,1.50%,"13,636",0,0,239,1.60%,€ 0.48,€ 7.13,0.00%, € -   ,€ 0.45
 Paid Search , google , BIODERMA ,May-24,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 91,163,12.30%,€ 0.56,"1,328",163,12.30%,"1,328",0,0,0,0.00%,€ 0.56,€ 68.64,0.00%, € -   , € -   
 Paid Social , meta , BIODERMA ,May-24,Conversion,BIO-2024-H2O-Mizellenwasser,Clicks,€ 50,58,0.80%,€ 0.87,"7,412",58,0.80%,"6,694",0,195,374,5.00%,€ 0.87,€ 6.79,0.00%, € -   ,€ 0.13
 Paid Social , meta , BIODERMA ,May-24,Conversion,BIO-2024-Photoderm-Eau-Solaire,Clicks,€ 103,204,1.50%,€ 0.50,"13,463",204,1.50%,"12,369",0,0,211,1.60%,€ 0.50,€ 7.64,0.00%, € -   ,€ 0.49
 Paid Search , google , BIODERMA ,May-24,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 106,177,12.50%,€ 0.60,"1,412",177,12.50%,"1,412",0,0,0,0.00%,€ 0.60,€ 75.26,0.00%, € -   , € -   
 Paid Social , meta , BIODERMA ,May-24,Conversion,BIO-2024-H2O-Mizellenwasser,Clicks,€ 50,56,0.80%,€ 0.89,"7,165",56,0.80%,"6,242",0,166,331,4.60%,€ 0.89,€ 6.94,0.00%, € -   ,€ 0.15
 Paid Social , meta , BIODERMA ,May-24,Conversion,BIO-2024-Photoderm-Eau-Solaire,Clicks,€ 101,165,1.20%,€ 0.61,"14,060",165,1.20%,"13,242",0,1,171,1.20%,€ 0.61,€ 7.15,0.00%, € -   ,€ 0.59
 Paid Search , google , BIODERMA ,May-24,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 98,175,12.40%,€ 0.56,"1,409",175,12.40%,"1,409",0,0,0,0.00%,€ 0.56,€ 69.45,0.00%, € -   , € -   
 Paid Social , meta , BIODERMA ,May-24,Conversion,BIO-2024-Photoderm-Eau-Solaire,Clicks,€ 100,189,1.40%,€ 0.53,"13,929",189,1.40%,"12,958",0,1,195,1.40%,€ 0.53,€ 7.17,0.00%, € -   ,€ 0.51
 Paid Social , meta , BIODERMA ,May-24,Conversion,BIO-2024-H2O-Mizellenwasser,Clicks,€ 50,55,0.80%,€ 0.91,"7,202",55,0.80%,"6,708",0,147,301,4.20%,€ 0.91,€ 6.92,0.00%, € -   ,€ 0.17
 Paid Search , google , BIODERMA ,May-24,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 106,191,12.90%,€ 0.55,"1,477",191,12.90%,"1,477",0,0,0,0.00%,€ 0.55,€ 71.58,0.00%, € -   , € -   
 Paid Social , meta , BIODERMA ,May-24,Conversion,BIO-2024-Photoderm-Eau-Solaire,Clicks,€ 99,181,1.40%,€ 0.55,"13,079",181,1.40%,"11,829",0,0,190,1.50%,€ 0.55,€ 7.55,0.00%, € -   ,€ 0.52
 Paid Social , meta , BIODERMA ,May-24,Conversion,BIO-2024-H2O-Mizellenwasser,Clicks,€ 50,54,0.80%,€ 0.92,"6,675",54,0.80%,"6,204",0,162,317,4.70%,€ 0.92,€ 7.47,0.00%, € -   ,€ 0.16
 Paid Search , google , BIODERMA ,May-24,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 142,231,12.90%,€ 0.61,"1,790",231,12.90%,"1,790",0,0,0,0.00%,€ 0.61,€ 79.12,0.00%, € -   , € -   
 Paid Social , meta , BIODERMA ,May-24,Conversion,BIO-2024-H2O-Mizellenwasser,Clicks,€ 49,51,0.60%,€ 0.97,"8,105",51,0.60%,"7,478",0,206,361,4.50%,€ 0.97,€ 6.09,0.00%, € -   ,€ 0.14
 Paid Social , meta , BIODERMA ,May-24,Conversion,BIO-2024-Photoderm-Eau-Solaire,Clicks,€ 98,215,1.50%,€ 0.46,"14,577",215,1.50%,"13,742",0,0,224,1.50%,€ 0.46,€ 6.71,0.00%, € -   ,€ 0.44
 Paid Search , google , BIODERMA ,May-24,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 139,219,13.70%,€ 0.63,"1,602",219,13.70%,"1,602",0,0,0,0.00%,€ 0.63,€ 86.75,0.00%, € -   , € -   
 Paid Social , meta , BIODERMA ,May-24,Conversion,BIO-2024-H2O-Mizellenwasser,Clicks,€ 50,68,0.80%,€ 0.74,"8,277",68,0.80%,"7,495",0,245,473,5.70%,€ 0.74,€ 6.09,0.00%, € -   ,€ 0.11
 Paid Social , meta , BIODERMA ,May-24,Conversion,BIO-2024-Photoderm-Eau-Solaire,Clicks,€ 100,264,1.70%,€ 0.38,"15,151",264,1.70%,"13,533",0,0,270,1.80%,€ 0.38,€ 6.61,0.00%, € -   ,€ 0.37
 Paid Search , google , BIODERMA ,May-24,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 124,203,11.90%,€ 0.61,"1,703",203,11.90%,"1,703",0,0,0,0.00%,€ 0.61,€ 72.99,0.00%, € -   , € -   
 Paid Social , meta , BIODERMA ,May-24,Conversion,BIO-2024-H2O-Mizellenwasser,Clicks,€ 51,59,0.80%,€ 0.86,"7,370",59,0.80%,"6,489",0,227,423,5.70%,€ 0.86,€ 6.85,0.00%, € -   ,€ 0.12
 Paid Social , meta , BIODERMA ,May-24,Conversion,BIO-2024-Photoderm-Eau-Solaire,Clicks,€ 100,227,1.80%,€ 0.44,"12,752",227,1.80%,"11,645",0,0,239,1.90%,€ 0.44,€ 7.84,0.00%, € -   ,€ 0.42
 Paid Search , google , BIODERMA ,May-24,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 134,195,13.10%,€ 0.69,"1,492",195,13.10%,"1,492",0,0,0,0.00%,€ 0.69,€ 89.99,0.00%, € -   , € -   
 Paid Social , meta , BIODERMA ,May-24,Conversion,BIO-2024-Photoderm-Eau-Solaire,Clicks,€ 92,185,1.70%,€ 0.50,"10,882",185,1.70%,"9,609",0,0,197,1.80%,€ 0.50,€ 8.42,0.00%, € -   ,€ 0.47
 Paid Social , meta , BIODERMA ,May-24,Conversion,BIO-2024-H2O-Mizellenwasser,Clicks,€ 46,49,0.80%,€ 0.93,"6,038",49,0.80%,"5,528",0,252,459,7.60%,€ 0.93,€ 7.55,0.00%, € -   ,€ 0.10
